bank_name_standard,bank_category,gnpa_2020,gnpa_2025,gnpa_reduction_pct
AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN SECTOR,25,0,100
BANK OF NOVA SCOTIA,FOREIGN SECTOR,68.05,0,100
BARCLAYS BANK PLC,FOREIGN SECTOR,339.07,0,100
BNP PARIBAS,FOREIGN SECTOR,6.9,0,100
COOPERATIEVE RABOBANK U.A.,FOREIGN SECTOR,169.81,0,100
"CTBC BANK CO., LTD.",FOREIGN SECTOR,2.58,0,100
FIRSTRAND BANK LTD,FOREIGN SECTOR,28,0,100
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN SECTOR,35.24,0,100
KEB HANA BANK,FOREIGN SECTOR,53.41,0,100
MIZUHO BANK LTD,FOREIGN SECTOR,6.34,0,100
PT BANK MAYBANK INDONESIA TBK,FOREIGN SECTOR,17.78,0,100
UNITED OVERSEAS BANK LTD,FOREIGN SECTOR,75,0,100
SOCIETE GENERALE,FOREIGN SECTOR,78.92,3.94,95.01
BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN SECTOR,78.65,5.18,93.41
CITIBANK N.A,FOREIGN SECTOR,961.04,104.76,89.1
YES BANK LIMITED,PRIVATE SECTOR,32877.59,3935.61,88.03
IDBI BANK LIMITED,PRIVATE SECTOR,47272.37,6695,85.84
SBERBANK,FOREIGN SECTOR,91.85,13.57,85.23
KARUR VYSYA BANK LTD,PRIVATE SECTOR,4212.77,641.8,84.77
SHINHAN BANK,FOREIGN SECTOR,100.04,25.8,74.21
INDIAN OVERSEAS BANK,PUBLIC SECTOR,19912.7,5347.72,73.14
CENTRAL BANK OF INDIA,PUBLIC SECTOR,32589.08,9224.78,71.69
UCO BANK,PUBLIC SECTOR,19281.95,5918.54,69.31
BANK OF MAHARASHTRA,PUBLIC SECTOR,12152.15,4184.52,65.57
BANK OF INDIA,PUBLIC SECTOR,61549.93,21748.89,64.66
PUNJAB AND SIND BANK,PUBLIC SECTOR,8874.57,3370.06,62.03
STANDARD CHARTERED BANK,FOREIGN SECTOR,5151.24,2016.53,60.85
BANK OF BARODA,PUBLIC SECTOR,69381.43,27834.88,59.88
DEUTSCHE BANK AG,FOREIGN SECTOR,1510.28,642.39,57.47
AXIS BANK LIMITED,PRIVATE SECTOR,30233.82,13961.19,53.82
JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR,7671.63,3604.84,53.01
STATE BANK OF INDIA,PUBLIC SECTOR,149091.85,76880.2,48.43
TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR,1020.98,556.13,45.53
ICICI BANK LIMITED,PRIVATE SECTOR,40829.09,23523.1,42.39
PUNJAB NATIONAL BANK,PUBLIC SECTOR,73478.76,44081.6,40.01
UNION BANK OF INDIA,PUBLIC SECTOR,49085.3,35350.38,27.98
NAINITAL BANK LTD,PRIVATE SECTOR,536.03,386.2,27.95
CANARA BANK,PUBLIC SECTOR,37041.15,31530,14.88
KARNATAKA BANK LTD,PRIVATE SECTOR,2799.93,2402.08,14.21
SOUTH INDIAN BANK LTD,PRIVATE SECTOR,3261.77,2799.84,14.16
DHANLAXMI BANK LIMITED,PRIVATE SECTOR,401.22,364.11,9.25
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN SECTOR,2.93,2.93,0
DOHA BANK Q.P.S.C.,FOREIGN SECTOR,8.88,9.37,-5.52
RBL BANK LTD,PRIVATE SECTOR,2136.52,2465.47,-15.4
CITY UNION BANK LIMITED,PRIVATE SECTOR,1413.4,1638.17,-15.9
CSB BANK LIMITED,PRIVATE SECTOR,409.43,498.46,-21.74
KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR,5026.89,6133.85,-22.02
FEDERAL BANK LTD,PRIVATE SECTOR,3530.83,4375.54,-23.92
INDIAN BANK,PUBLIC SECTOR,14150.82,18178.86,-28.47
SBM BANK (INDIA) LIMITED,FOREIGN SECTOR,115.58,162.92,-40.96
BANK OF CEYLON,FOREIGN SECTOR,20.13,35.7,-77.35
IDFC FIRST BANK LIMITED,PRIVATE SECTOR,2279.56,4433.58,-94.49
INDUSIND BANK LTD,PRIVATE SECTOR,5146.74,11046.38,-114.63
JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE,320.81,749.6,-133.66
DCB BANK LIMITED,PRIVATE SECTOR,631.51,1554.43,-146.14
EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE,417.32,1067.73,-155.85
HDFC BANK LIMITED,PRIVATE SECTOR,12649.97,35222.64,-178.44
DBS BANK INDIA LIMITED,FOREIGN SECTOR,507.57,1538.14,-203.04
CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE,58.51,185.34,-216.77
AMERICAN EXPRESS BANKING CORP.,FOREIGN SECTOR,80.12,295.28,-268.55
UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE,137.14,695.89,-407.43
AU SMALL FINANCE BANK LIMITED,SMALL FINANCE,457.78,2477.03,-441.1
BANDHAN BANK LIMITED,PRIVATE SECTOR,992.78,6435.56,-548.24
NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE,26.29,184.76,-602.78
SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE,101.25,733.84,-624.78
ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE,100.86,1290.57,-1179.57
UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE,44.66,1854.38,-4052.22
