year,bank_category,num_banks,gross_opening_cr,addition_cr,reduction_cr,writeoff_cr,gross_closing_cr,net_closing_cr,slippage_pct,recovery_rate_pct,inferred_pcr_pct
2025,FOREIGN SECTOR,44,6523.13,7255.62,6101.12,2356.54,5321.08,775.93,111.23,44.28,85.42
2025,PRIVATE SECTOR,21,129163.51,121734.54,59679.74,58544.32,132673.98,35068.7,94.25,23.79,73.57
2025,PUBLIC SECTOR,12,339541.3,82762.21,47477.15,91175.93,283650.43,55634.29,24.37,11.24,80.39
2025,SMALL FINANCE,11,5390.83,14606.6,4522.33,5486.42,9988.7,3909.52,270.95,22.61,60.86
2024,FOREIGN SECTOR,45,9473.9,5206.28,5491.07,2665.96,6523.13,811.64,54.95,37.4,87.56
2024,PRIVATE SECTOR,21,125214.22,116801.44,64650.6,48201.56,129163.51,31593.55,93.28,26.71,75.54
2024,PUBLIC SECTOR,12,428197,84434.61,60575.79,112514.52,339541.3,72543.85,19.72,11.82,78.63
2024,SMALL FINANCE,12,8608.17,7151.87,4507.24,5662.46,5590.36,1795.92,83.08,28.6,67.87
2023,FOREIGN SECTOR,44,13786.12,5972.03,7341.76,2890.27,9526.14,1655.9,43.32,37.16,82.62
2023,PRIVATE SECTOR,21,180769.16,110063.96,81671.81,83947.1,125214.22,29509.83,60.89,28.08,76.43
2023,PUBLIC SECTOR,12,542173.82,98291.47,84278.27,127990.01,428197,102531.54,18.13,13.16,76.06
2023,SMALL FINANCE,12,10683.8,6901.26,5006.6,3970.27,8608.17,1622.43,64.6,28.47,81.15
2022,FOREIGN SECTOR,45,15044.08,8322.73,6555.73,3024.87,13786.18,3022.72,55.32,28.06,78.07
2022,PRIVATE SECTOR,21,197507.88,125820.66,89472.33,53087.03,180769.18,43738.25,63.7,27.67,75.8
2022,PUBLIC SECTOR,12,616615.71,139905.31,94634.3,119712.9,542173.82,154745.38,22.69,12.51,71.46
2022,SMALL FINANCE,11,5970.64,9383.64,5543.44,2900.37,6910.5,2724.58,157.16,36.1,60.57
2021,FOREIGN SECTOR,45,10208.35,12838.39,4695.13,3307.52,15044.07,3241.27,125.76,20.37,78.45
2021,PRIVATE SECTOR,21,201704.73,102488.46,38580.11,68105.59,197507.51,55376.59,50.81,12.68,71.96
2021,PUBLIC SECTOR,12,646629.67,178977.08,75046.15,133944.9,616615.7,196450.8,27.68,9.09,68.14
2021,SMALL FINANCE,10,1709.33,5470.14,376.71,832.12,5970.65,2981.39,320.02,5.25,50.07
2020,FOREIGN SECTOR,46,12251.18,6750.78,3791.96,5001.68,10208.35,2004.52,55.1,19.96,80.36
2020,PRIVATE SECTOR,22,183718.1,131134.54,51335.92,53948.6,209568.14,55683.41,71.38,16.3,73.43
2020,PUBLIC SECTOR,18,717849.74,238464.08,99691.54,178305.31,678316.98,230917.59,33.22,10.42,65.96
2020,SMALL FINANCE,10,1659.64,1764.43,1045.82,668.93,1709.33,764.64,106.31,30.54,55.27
