bank_name_standard,bank_category,gnpa_closing_cr,nnpa_closing_cr,provision_gap_cr,inferred_pcr_pct
STATE BANK OF INDIA,PUBLIC SECTOR,76880.2,19666.92,57213.28,74.42
PUNJAB NATIONAL BANK,PUBLIC SECTOR,44081.6,4290.55,39791.05,90.27
UNION BANK OF INDIA,PUBLIC SECTOR,35350.38,5969.29,29381.09,83.11
HDFC BANK LIMITED,PRIVATE SECTOR,35222.64,11320.43,23902.21,67.86
CANARA BANK,PUBLIC SECTOR,31530,7353,24177,76.68
BANK OF BARODA,PUBLIC SECTOR,27834.88,6994.22,20840.66,74.87
ICICI BANK LIMITED,PRIVATE SECTOR,23523.1,5589.41,17933.69,76.24
BANK OF INDIA,PUBLIC SECTOR,21748.89,5358.49,16390.4,75.36
INDIAN BANK,PUBLIC SECTOR,18178.86,1109.56,17069.3,93.9
AXIS BANK LIMITED,PRIVATE SECTOR,13961.19,3685.45,10275.74,73.6
INDUSIND BANK LTD,PRIVATE SECTOR,11046.38,3287.14,7759.24,70.24
CENTRAL BANK OF INDIA,PUBLIC SECTOR,9224.78,1543.25,7681.53,83.27
IDBI BANK LIMITED,PRIVATE SECTOR,6695,337,6358,94.97
BANDHAN BANK LIMITED,PRIVATE SECTOR,6435.56,1692.84,4742.72,73.7
KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR,6133.85,1343.43,4790.42,78.1
