year,total_gross_opening_cr,total_addition_cr,total_reduction_cr,total_writeoff_cr,total_gross_closing_cr,total_net_closing_cr
2025,480618.77,226358.97,117780.34,157563.21,431634.19,95388.44
2024,571493.29,213594.2,135224.7,169044.5,480818.3,106744.96
2023,747412.9,221228.72,178298.44,218797.65,571545.53,135319.7
2022,835138.31,283432.34,196205.8,178725.17,743639.68,204230.93
2021,860252.08,299774.07,118698.1,206190.13,835137.93,258050.05
2020,915478.66,378113.83,155865.24,237924.52,899802.8,289370.16
2019,1038683.82,308218.22,173702.97,236725.25,936473.8,355068.8
2018,726460.59,604253.58,128301.46,162733.36,1039679.34,520837.65
2017,612012.55,415823,128174.61,107823.19,791791.05,433120.62
2016,322589.93,442192.48,80333.89,72501.2,611947.29,349814.43
2015,263361.88,208638.16,88468.24,60196.61,323335.16,175841.05
2014,194041.1,190087.66,99932.8,19814.81,264381.14,142667.49
2013,142903.34,138206.17,75701.62,11354.58,194053.31,98693.85
2012,98233.48,107520.72,57237.83,5613.02,142903.33,65204.88
2011,83908.84,70439.87,48073.2,8302.34,97973.17,41799.17
2010,68284.33,69579.7,43245.66,9917.52,84700.81,39126.63
2009,54836.85,52345.88,33870.7,4983.82,68328.21,31564.18
2008,50191.44,34981.2,27946.77,916.72,56309.15,24730.01
2007,50519.83,26211.44,26159.76,84.95,50486.57,20280.62
2006,58363.16,21379.9,28595.16,51.08,51096.83,18543.46
2005,64310.13,20405.6,22879.05,2463.18,59373.49,21754.17
